Time,Ox Man Raw,Ox Man (psi),Fuel Man Raw,Fuel Man (psi),CC Raw,CC (psi),Ox Tank Raw,Ox Tank (psi),Press Tank Raw,Press Tank (psi),Thrust Raw,Thrust (lbf),dP Fuel,dP Ox
1625838,0.975339,-1.10955267,1.004394,2.23059,0.985351,1.11762573,1.014648,3.16700872,1.006094,9.713501,0.241199,21.833283,1.11296427,-2.2271784
1625863,0.973013,-1.67353789,1.004428,2.238845,0.98403,0.7936769,1.017538,3.89641582,1.003799,6.808819,0.244104,22.121695,1.4451681,-2.46721479
1625887,0.978711,-0.29194383,1.003464,2.00171,0.983926,0.76817298,1.017938,3.99737182,1.007584,11.598455,0.242188,21.93144,1.23353702,-1.06011681
1625924,0.97262,-1.7688286,1.005939,2.610306,0.984164,0.82653772,1.013772,2.94591508,1.004877,8.17232,0.244128,22.124119,1.78376828,-2.59536632
1625959,0.976535,-0.81955855,1.005246,2.439959,0.983881,0.75713763,1.016211,3.56149429,1.004623,7.851724,0.244128,22.124119,1.68282137,-1.57669618
1625995,0.974731,-1.25697443,1.003729,2.066997,0.983902,0.76228746,1.014404,3.10542556,1.004648,7.882625,0.244141,22.125331,1.30470954,-2.01926189
1626020,0.974219,-1.38111907,1.003421,1.991204,0.984979,1.02640017,1.013559,2.89215601,1.006686,10.462848,0.244104,22.121695,0.96480383,-2.40751924
1626045,0.97287,-1.7082111,1.003766,2.076002,0.982403,0.39468769,1.015674,3.42596086,1.003531,6.46891,0.241931,21.905992,1.68131431,-2.10289879
1626092,0.976257,-0.88696521,1.005237,2.437708,0.986001,1.27702523,1.017169,3.80328391,1.004767,8.033266,0.244116,22.122907,1.16068277,-2.16399044
1626115,0.974429,-1.33020037,1.005084,2.400186,0.984668,0.95013364,1.01499,3.2533261,1.005844,9.396768,0.244153,22.126542,1.45005236,-2.28033401
1626148,0.973025,-1.67062825,1.005304,2.454217,0.985763,1.21866049,1.016028,3.51530692,1.003564,6.511398,0.241455,21.858731,1.23555651,-2.88928874
1626176,0.972757,-1.73561021,1.003607,2.03698,0.982843,0.50258889,1.015466,3.37346374,1.003598,6.553887,0.244116,22.122907,1.53439111,-2.2381991
1626204,0.977475,-0.59163675,1.004074,2.151795,0.983972,0.77945356,1.015286,3.32803354,1.002917,5.692525,0.244128,22.124119,1.37234144,-1.37109031
